"taxon_id","taxon_rank","scientific_name","species","genus","family","order","class","phylum","kingdom","superkingdom","genome_size"
"88514","species","Lasioglossum morio","Lasioglossum morio","Lasioglossum","Halictidae","Hymenoptera","Insecta","Arthropoda","Metazoa","Eukaryota",507000000
"56726","species","Pholis gunnellus","Pholis gunnellus","Pholis","Pholidae","Perciformes","Actinopteri","Chordata","Metazoa","Eukaryota",704160000
"987933","species","Euplexia lucipara","Euplexia lucipara","Euplexia","Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",674000000
"362093","species","Athalia circularis","Athalia circularis","Athalia","Tenthredinidae","Hymenoptera","Insecta","Arthropoda","Metazoa","Eukaryota",203000000
"1789172","species","Diadumene lineata","Diadumene lineata","Diadumene","Diadumenidae","Actiniaria","Anthozoa","Cnidaria","Metazoa","Eukaryota",317000000
"195172","species","Cantharis rustica","Cantharis rustica","Cantharis","Cantharidae","Coleoptera","Insecta","Arthropoda","Metazoa","Eukaryota",433500000
"210248","species","Acrocera orbiculus","Acrocera orbiculus","Acrocera","Acroceridae","Diptera","Insecta","Arthropoda","Metazoa","Eukaryota",221000000
"301037","species","Bembecia ichneumoniformis","Bembecia ichneumoniformis","Bembecia","Sesiidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",308000000
"362091","species","Tenthredo notha","Tenthredo notha","Tenthredo","Tenthredinidae","Hymenoptera","Insecta","Arthropoda","Metazoa","Eukaryota",266000000
"129397","species","Aporia crataegi","Aporia crataegi","Aporia","Pieridae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",408000000
"1667466","species","Anoplius nigerrimus","Anoplius nigerrimus","Anoplius","Pompilidae","Hymenoptera","Insecta","Arthropoda","Metazoa","Eukaryota",626000000
"1101027","species","Pammene fasciana","Pammene fasciana","Pammene","Tortricidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",833000000
"2719080","species","Nephrotoma flavescens","Nephrotoma flavescens","Nephrotoma","Tipulidae","Diptera","Insecta","Arthropoda","Metazoa","Eukaryota",1106000000
"2492375","species","Omphaloscelis lunosa","Omphaloscelis lunosa","Omphaloscelis","Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",662000000
"703304","species","Gibbula magus","Gibbula magus","Gibbula","Trochidae","Trochida","Gastropoda","Mollusca","Metazoa","Eukaryota",1546000000
"938238","species","Laspeyria flexula","Laspeyria flexula","Laspeyria","Erebidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",1331666666.6666667
"1667454","species","Evagetes crassicornis","Evagetes crassicornis","Evagetes","Pompilidae","Hymenoptera","Insecta","Arthropoda","Metazoa","Eukaryota",577000000
"1511221","species","Aelia acuminata","Aelia acuminata","Aelia","Pentatomidae","Hemiptera","Insecta","Arthropoda","Metazoa","Eukaryota",952000000
"76193","species","Papilio machaon","Papilio machaon","Papilio","Papilionidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",306440000
"934908","species","Camptogramma bilineatum","Camptogramma bilineatum","Camptogramma","Geometridae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",446000000
"444401","species","Andrena haemorrhoa","Andrena haemorrhoa","Andrena","Andrenidae","Hymenoptera","Insecta","Arthropoda","Metazoa","Eukaryota",377333333.3333333
"231887","species","Amblyteles armatorius","Amblyteles armatorius","Amblyteles","Ichneumonidae","Hymenoptera","Insecta","Arthropoda","Metazoa","Eukaryota",219000000
"214311","species","Phragmatobia fuliginosa","Phragmatobia fuliginosa","Phragmatobia","Erebidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",662000000
"722673","species","Hylaea fasciaria","Hylaea fasciaria","Hylaea","Geometridae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",758797647.0588236
"47427","species","Armillaria gallica","Armillaria gallica","Armillaria","Physalacriaceae","Agaricales","Agaricomycetes","Basidiomycota","Fungi","Eukaryota",82827500
"934894","species","Selenia dentaria","Selenia dentaria","Selenia","Geometridae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",1032000000
"346838","species","Pyrochroa serraticornis","Pyrochroa serraticornis","Pyrochroa","Pyrochroidae","Coleoptera","Insecta","Arthropoda","Metazoa","Eukaryota",543980357.6388888
"7061","species","Melolontha melolontha","Melolontha melolontha","Melolontha","Scarabaeidae","Coleoptera","Insecta","Arthropoda","Metazoa","Eukaryota",1662000000
"78897","species","Lymantria monacha","Lymantria monacha","Lymantria","Erebidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",1007340000
"76502","species","Schoenoplectus lacustris","Schoenoplectus lacustris","Schoenoplectus","Cyperaceae","Poales","Magnoliopsida","Streptophyta","Viridiplantae","Eukaryota",568044489.6666666
"2741128","species","Bombylius discolor","Bombylius discolor","Bombylius","Bombyliidae","Diptera","Insecta","Arthropoda","Metazoa","Eukaryota",277000000
"875884","species","Phlogophora meticulosa","Phlogophora meticulosa","Phlogophora","Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",656600000
"1542540","species","Megachile ligniseca","Megachile ligniseca","Megachile","Megachilidae","Hymenoptera","Insecta","Arthropoda","Metazoa","Eukaryota",261000000
"1545128","species","Eurydema oleracea","Eurydema oleracea","Eurydema","Pentatomidae","Hemiptera","Insecta","Arthropoda","Metazoa","Eukaryota",1020000000
"85443","species","Dolichovespula saxonica","Dolichovespula saxonica","Dolichovespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa","Eukaryota",261320000
"1918221","species","Cistogaster globosa","Cistogaster globosa","Cistogaster","Tachinidae","Diptera","Insecta","Arthropoda","Metazoa","Eukaryota",873000000
"1870436","species","Ypsolopha sequella","Ypsolopha sequella","Ypsolopha","Ypsolophidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",871000000
"55057","species","Mamestra brassicae","Mamestra brassicae","Mamestra","Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",656600000
"45351","species","Nematostella vectensis","Nematostella vectensis","Nematostella","Edwardsiidae","Actiniaria","Anthozoa","Cnidaria","Metazoa","Eukaryota",277486666.6666667
"1352479","species","Epistrophe grossulariae","Epistrophe grossulariae","Epistrophe","Syrphidae","Diptera","Insecta","Arthropoda","Metazoa","Eukaryota",560000000
"214171","species","Hydraecia micacea","Hydraecia micacea","Hydraecia","Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",562000000
"63136","species","Colpoda steinii","Colpoda steinii","Colpoda","Colpodidae","Colpodida","Colpodea","Ciliophora",,"Eukaryota",26000000
"257627","species","Dunaliella primolecta","Dunaliella primolecta","Dunaliella","Dunaliellaceae","Chlamydomonadales","Chlorophyceae","Chlorophyta","Viridiplantae","Eukaryota",212000000
"987992","species","Noctua comes","Noctua comes","Noctua","Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",547000000
"2771288","species","Aplidium turbinatum","Aplidium turbinatum","Aplidium","Polyclinidae","Aplousobranchia","Ascidiacea","Chordata","Metazoa","Eukaryota",615000000
"41880","species","Pycnococcus provasolii","Pycnococcus provasolii","Pycnococcus","Pycnococcaceae",,,"Chlorophyta","Viridiplantae","Eukaryota",615000000
"72669","species","Antedon bifida","Antedon bifida","Antedon","Antedonidae","Comatulida","Crinoidea","Echinodermata","Metazoa","Eukaryota",316000000
"934844","species","Eupithecia centaureata","Eupithecia centaureata","Eupithecia","Geometridae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",489000000
"688445","species","Macaria notata","Macaria notata","Macaria","Geometridae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",394000000
"934888","species","Philereme vetulata","Philereme vetulata","Philereme","Geometridae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",773000000
"51655","species","Plutella xylostella","Plutella xylostella","Plutella","Plutellidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",327000000
"1553677","species","Podabrus alpinus","Podabrus alpinus","Podabrus","Cantharidae","Coleoptera","Insecta","Arthropoda","Metazoa","Eukaryota",803000000
